slug,findings_total,findings_kept,strong_pattern_hits,unique_patterns,unique_files,php_hits,js_hits,md_txt_hits,best_pattern_score,total_weighted_score,confidence,matched_patterns,matched_files_sample
hcaptcha-for-forms-and-more,29,12,12,5,5,7,0,5,100,1240,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api,wp_abilities",wp_abilities_data\extracted\hcaptcha-for-forms-and-more\hcaptcha-for-forms-and-more\changelog.txt | wp_abilities_data\extracted\hcaptcha-for-forms-and-more\hcaptcha-for-forms-and-more\readme.txt | wp_abilities_data\extracted\hcaptcha-for-forms-and-more\hcaptcha-for-forms-and-more\src\php\Abilities\Abilities.php | wp_abilities_data\extracted\hcaptcha-for-forms-and-more\hcaptcha-for-forms-and-more\src\php\Admin\Notifications.php | wp_abilities_data\extracted\hcaptcha-for-forms-and-more\hcaptcha-for-forms-and-more\src\php\Admin\WhatsNew.php
all-sources-images,18,10,9,5,4,8,0,2,100,1185,high,"abilities_api,model_context_protocol,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\all-sources-images\all-sources-images\all-sources-images.php | wp_abilities_data\extracted\all-sources-images\all-sources-images\README.txt | wp_abilities_data\extracted\all-sources-images\all-sources-images\admin\class-all-sources-images-generation.php | wp_abilities_data\extracted\all-sources-images\all-sources-images\includes\class-allsi-abilities.php
surecart,77,7,7,3,4,6,0,1,100,905,high,"abilities_api,register_abilities,register_ability",wp_abilities_data\extracted\surecart\surecart\readme.txt | wp_abilities_data\extracted\surecart\surecart\app\src\Abilities\AbilitiesServiceProvider.php | wp_abilities_data\extracted\surecart\surecart\app\src\Abilities\AbilityRegistrar.php | wp_abilities_data\extracted\surecart\surecart\app\src\Abilities\Abilities\AbstractAbility.php
ai-product-tools,12,7,7,4,4,6,0,1,100,885,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\ai-product-tools\ai-product-tools\readme.txt | wp_abilities_data\extracted\ai-product-tools\ai-product-tools\src\Core\Init.php | wp_abilities_data\extracted\ai-product-tools\ai-product-tools\src\Core\Services\AbilityRegistrar.php | wp_abilities_data\extracted\ai-product-tools\ai-product-tools\src\Core\Services\CapabilityManager.php
vigia,13,8,8,4,3,5,0,3,100,850,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\vigia\vigia\readme.txt | wp_abilities_data\extracted\vigia\vigia\vigia.php | wp_abilities_data\extracted\vigia\vigia\includes\class-abilities.php
ad-commander,21,7,7,4,4,5,0,2,100,805,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\ad-commander\ad-commander\readme.txt | wp_abilities_data\extracted\ad-commander\ad-commander\includes\Abilities.php | wp_abilities_data\extracted\ad-commander\ad-commander\includes\Admin.php | wp_abilities_data\extracted\ad-commander\ad-commander\includes\AdminReports.php
insert-headers-and-footers,13,7,7,4,3,5,0,2,100,805,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\insert-headers-and-footers\insert-headers-and-footers\ihaf.php | wp_abilities_data\extracted\insert-headers-and-footers\insert-headers-and-footers\readme.txt | wp_abilities_data\extracted\insert-headers-and-footers\insert-headers-and-footers\includes\class-wpcode-abilities-api.php
synced-pattern-popups,15,7,7,3,3,5,0,2,100,800,high,"abilities_api,register_abilities,register_ability",wp_abilities_data\extracted\synced-pattern-popups\synced-pattern-popups\readme.txt | wp_abilities_data\extracted\synced-pattern-popups\synced-pattern-popups\includes\class-sppopups-abilities.php | wp_abilities_data\extracted\synced-pattern-popups\synced-pattern-popups\includes\class-sppopups-plugin.php
ai-ready-wp,13,7,7,4,3,5,0,2,100,795,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\ai-ready-wp\ai-ready-wp\ai-ready-wp.php | wp_abilities_data\extracted\ai-ready-wp\ai-ready-wp\readme.txt | wp_abilities_data\extracted\ai-ready-wp\ai-ready-wp\includes\class-abilities.php
enable-abilities-for-mcp,24,8,7,4,3,4,0,4,100,760,high,"abilities_api,model_context_protocol,register_abilities,register_ability",wp_abilities_data\extracted\enable-abilities-for-mcp\enable-abilities-for-mcp\enable-abilities-for-mcp.php | wp_abilities_data\extracted\enable-abilities-for-mcp\enable-abilities-for-mcp\readme.txt | wp_abilities_data\extracted\enable-abilities-for-mcp\enable-abilities-for-mcp\includes\abilities.php
creame-whatsapp-me,9,5,5,4,2,5,0,0,100,710,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\creame-whatsapp-me\creame-whatsapp-me\includes\class-joinchat-abilities.php | wp_abilities_data\extracted\creame-whatsapp-me\creame-whatsapp-me\includes\class-joinchat.php
virtual-media-folders,11,5,5,4,2,4,0,1,100,615,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\virtual-media-folders\virtual-media-folders\readme.txt | wp_abilities_data\extracted\virtual-media-folders\virtual-media-folders\src\AbilitiesIntegration.php
notification-for-telegram,11,5,4,4,2,2,0,3,100,435,high,"abilities_api,model_context_protocol,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\notification-for-telegram\notification-for-telegram\readme.txt | wp_abilities_data\extracted\notification-for-telegram\notification-for-telegram\include\nftb_MCP.php
mcp-tracker,23,4,3,4,2,2,0,2,100,380,high,"abilities_api,model_context_protocol,register_abilities,register_ability",wp_abilities_data\extracted\mcp-tracker\mcp-tracker\readme.txt | wp_abilities_data\extracted\mcp-tracker\mcp-tracker\includes\classes\mcp-tracker-abilities.php
royal-mcp,23,4,2,3,2,1,0,3,90,230,high,"abilities_api,model_context_protocol,register_abilities",wp_abilities_data\extracted\royal-mcp\royal-mcp\readme.txt | wp_abilities_data\extracted\royal-mcp\royal-mcp\royal-mcp.php
native-custom-fields,3,1,1,1,1,0,0,1,90,45,noise,abilities_api,wp_abilities_data\extracted\native-custom-fields\native-custom-fields\readme.txt
